time,own_icao24,intruder_icao24,own_latitude,own_longitude,own_geo_altitude_m,own_velocity_ms,own_heading_deg,own_vertical_rate_ms,intruder_latitude,intruder_longitude,intruder_geo_altitude_m,intruder_velocity_ms,intruder_heading_deg,intruder_vertical_rate_ms,relative_distance_km,relative_altitude_m,relative_speed_proxy_ms,distance_state,altitude_state,closing_state,mdp_state,recommended_action,reward
1781283492,8014cf,89900f,21.0664,105.6228,2125.98,126.14,34.53,-4.88,21.5616,105.9224,10416.54,262.77,260.65,0.33,63.208,8290.56,136.63,far,above,approaching,far_above_approaching,maintain,5
1781283492,8014cf,758307,21.0664,105.6228,2125.98,126.14,34.53,-4.88,21.7081,105.903,4008.12,185.53,283.96,-4.88,77.026,1882.14,59.39,far,above,approaching,far_above_approaching,maintain,5
1781283492,8014cf,7811d8,21.0664,105.6228,2125.98,126.14,34.53,-4.88,21.2806,106.0624,2827.02,155.9,30.54,11.38,51.429,701.04,29.76,far,above,approaching,far_above_approaching,maintain,5
1781283492,8014cf,8880ae,21.0664,105.6228,2125.98,126.14,34.53,-4.88,20.8616,105.4007,3611.88,176.0,54.64,-3.25,32.41,1485.9,49.86,far,above,approaching,far_above_approaching,maintain,5
1781283492,8014cf,71bf41,21.0664,105.6228,2125.98,126.14,34.53,-4.88,21.516,106.21,4541.52,173.64,30.44,11.05,78.743,2415.54,47.5,far,above,approaching,far_above_approaching,maintain,5
1781283492,80177e,733682,13.9144,99.1305,8900.16,236.9,281.65,1.3,14.0824,99.5777,7056.12,222.86,307.21,6.5,51.74,-1844.04,14.04,far,below,stable,far_below_stable,maintain,5
1781283492,702067,3c7a48,15.0432,97.623,12047.22,235.75,151.31,0.0,14.6318,97.9059,11734.8,248.02,302.64,-0.33,54.93,-312.42,12.27,far,below,stable,far_below_stable,maintain,5
1781283492,a97639,abc201,37.9612,139.1619,10919.46,306.06,77.58,0.0,37.7907,138.3689,12496.8,208.22,242.8,0.0,72.138,1577.34,97.84,far,above,approaching,far_above_approaching,maintain,5
1781283492,a2cb12,780ae5,38.584,140.3497,11849.1,210.51,243.75,0.0,38.8568,141.0953,10576.56,207.77,244.32,0.0,71.444,-1272.54,2.74,far,below,stable,far_below_stable,maintain,5
1781283492,a2cb12,86dc60,38.584,140.3497,11849.1,210.51,243.75,0.0,38.4974,140.8539,11513.82,201.78,193.12,0.33,44.896,-335.28,8.73,far,below,stable,far_below_stable,maintain,5
1781283492,781b6a,45217e,14.1199,100.6365,2804.16,132.76,194.36,-3.25,14.0243,100.7347,1851.66,134.01,13.77,-5.53,15.006,-952.5,1.25,medium,below,stable,medium_below_stable,maintain,5
1781283492,781b6a,780a0b,14.1199,100.6365,2804.16,132.76,194.36,-3.25,14.3296,100.2577,12374.88,263.88,257.62,0.0,47.018,9570.72,131.12,far,above,approaching,far_above_approaching,maintain,5
1781283492,781b6a,780d13,14.1199,100.6365,2804.16,132.76,194.36,-3.25,13.792,100.7875,594.36,80.73,194.39,-3.9,39.936,-2209.8,52.03,far,below,approaching,far_below_approaching,maintain,5
1781283492,781b6a,780bff,14.1199,100.6365,2804.16,132.76,194.36,-3.25,13.9508,100.9193,1059.18,113.83,229.4,-6.5,35.836,-1744.98,18.93,far,below,approaching,far_below_approaching,maintain,5
1781283492,781b6a,8832d4,14.1199,100.6365,2804.16,132.76,194.36,-3.25,14.1413,100.6944,1889.76,98.08,172.46,-4.55,6.681,-914.4,34.68,medium,below,approaching,medium_below_approaching,maintain,5
1781283492,781b6a,88510d,14.1199,100.6365,2804.16,132.76,194.36,-3.25,13.5853,100.8402,2948.94,158.77,67.92,14.63,63.382,144.78,26.01,far,same,approaching,far_same_approaching,maintain,5
1781283492,781b6a,88044a,14.1199,100.6365,2804.16,132.76,194.36,-3.25,13.9772,100.6451,381.0,66.06,208.36,-3.58,15.895,-2423.16,66.7,medium,below,approaching,medium_below_approaching,maintain,5
