Ablation,Fold,MAE (BPM),RMSE (BPM),Correlation
Full state,1,11.39763725302394,21.87406758181431,0.11018221534871162
Full state,2,1.6462433531971774,4.55215758862415,0.9044186896352117
Full state,3,2.2341484907847873,4.237785202231166,0.9475988917798499
Full state,4,1.3020182885606246,2.856862108772933,0.964232477438138
Full state,5,2.208225187655923,4.748118513045073,0.9092800992672223
No SQI,1,11.47243232627683,21.885680520912636,0.11298238070798147
No SQI,2,1.5995236535001818,4.2494682873563026,0.9105486514064962
No SQI,3,2.317885292097695,4.530146493403236,0.9453094557071663
No SQI,4,1.2967926498924673,2.9667292972658807,0.9615294861217366
No SQI,5,2.229498950294271,4.816305016512602,0.9072255301607273
No entropy,1,11.562290576556332,21.955614744173594,0.10187344961423199
No entropy,2,1.7521909554598252,4.914272242348711,0.8962332822567811
No entropy,3,2.2745445268582407,4.182588688763787,0.942176979302056
No entropy,4,1.2986656066079283,2.9486234442163965,0.9619861075925906
No entropy,5,2.275186699191799,4.946536439813687,0.9017935044817875
No peak quality,1,11.397456070281311,21.792313626044223,0.11314030260554249
No peak quality,2,1.6151815818924273,4.153121318260833,0.9146080126306697
No peak quality,3,2.245768023066957,4.246532779854359,0.9473466570337912
No peak quality,4,1.2949024480883828,2.874547756928752,0.9638316159246119
No peak quality,5,2.2306089596992567,4.8278124813947025,0.9066734788628312
No previous HR,1,11.41771189659407,21.814947036502474,0.11073654327304237
No previous HR,2,1.6795992742120316,4.480408911600091,0.9085309077291845
No previous HR,3,2.345067940657742,4.5031478240486225,0.9397699481098826
No previous HR,4,1.315398815220531,2.9948121031120487,0.9607573306958199
No previous HR,5,2.2172317606315946,4.758394008156623,0.9089448590948579
No previous action,1,11.471220008477284,21.894211505805572,0.11136753747857224
No previous action,2,1.6428060756468985,4.516443947238694,0.8975447432758845
No previous action,3,2.3345418379024068,4.676464271270007,0.9403862842581782
No previous action,4,1.3342169001787048,3.041794886356809,0.9595199867547185
No previous action,5,2.23239205338257,4.868599697375727,0.9054458550703757
