Fold,Method,MAE (BPM),RMSE (BPM),Correlation,BA bias (BPM),BA lower LoA (BPM),BA upper LoA (BPM),Failed (%),N windows
1,Contextual bandit,11.425050508010543,21.824551214721264,0.11158226415931398,-11.586076646441922,-59.20147569563567,36.02932240275183,0.025464731347083863,1309
1,"Fixed | Butterworth (0.5-5 Hz, order 4)",11.36743283269352,21.779569208653452,0.107839021554151,-11.637152420453543,-59.49721892360303,36.22291408269594,0.0,1309
1,"Fixed | Butterworth (0.7-4 Hz, order 3)",11.362928472381608,21.69274253572516,0.11754395861493938,-11.521334775320035,-58.75092650202062,35.70825695138055,0.0,1309
1,Fixed | Moving average (11),11.441708527368025,21.877749058021017,0.10990275870588467,-11.515242905292249,-59.23013332678636,36.199647516201864,0.07639419404125158,1309
1,Fixed | Moving average (5),11.535258380496684,21.99091626707026,0.10780494025456505,-11.580865536276956,-59.1291443873115,35.96741331475759,0.0,1309
1,Fixed | Raw,11.465538728365608,21.86073495874621,0.10990763139425797,-11.646152320071542,-59.252168976181544,35.95986433603846,0.0,1309
1,"Fixed | Savitzky-Golay (21,3)",11.341152022371332,21.744084131929153,0.11590052470999641,-11.577222014697405,-59.36142944489635,36.20698541550154,0.0,1309
1,Monte-Carlo,11.437463967106368,21.853959041741632,0.1083097813393183,-11.637016663798065,-59.40987895330281,36.13584562570668,0.0,1309
1,Q-learning,11.376282457064917,21.773591777074,0.11254750670244489,-11.504935131798591,-59.06969134100129,36.05982107740411,0.025464731347083863,1309
1,Supervised action classifier,11.452659129726335,21.869731994633725,0.11080382459801148,-11.624130530709772,-59.23599658025879,35.98773551883925,0.0,1309
2,Contextual bandit,1.6495899181860214,4.574327029865608,0.8968638908201209,0.13887053273868818,-8.304082875859761,8.581823941337136,0.10185892538833545,1309
2,"Fixed | Butterworth (0.5-5 Hz, order 4)",1.6175942809694857,4.390133799290945,0.9037253153590604,0.0879145915635055,-8.08372358592947,8.25955276905648,0.07639419404125158,1309
2,"Fixed | Butterworth (0.7-4 Hz, order 3)",1.628449045802123,4.202527596721365,0.8999458355887189,0.17857290251926652,-8.054086941426036,8.41123274646457,0.0,1309
2,Fixed | Moving average (11),1.7092238063018508,4.785673784861024,0.8944413419034136,0.17171532630606257,-8.435141071236911,8.778571723849035,0.15278838808250317,1309
2,Fixed | Moving average (5),1.7031248139750448,4.725154826927654,0.8962772713381926,0.15514743361209624,-8.38038726531012,8.690682132534313,0.15278838808250317,1309
2,Fixed | Raw,1.6872649166945388,4.785279574396943,0.8831472867943475,0.03407552389266785,-9.074829868493122,9.142980916278457,0.07639419404125158,1309
2,"Fixed | Savitzky-Golay (21,3)",1.6691025780941,4.8478395673242645,0.9115177907289342,0.18876451515026377,-7.645377794287695,8.022906824588222,0.30557677616500634,1309
2,Monte-Carlo,1.6874119137608308,4.726000446558508,0.8908377534440682,0.1036552339368088,-8.642016089785061,8.849326557658678,0.10185892538833545,1309
2,Q-learning,1.655844018128368,4.501547610714796,0.9045090229403338,0.13708357175636005,-8.006305910564144,8.280473054076865,0.12732365673541932,1309
2,Supervised action classifier,1.6292200021051648,4.447345396252488,0.8881513835025715,0.0794948623828477,-8.771559268619157,8.930548993384853,0.0,1309
3,Contextual bandit,2.3025512676007893,4.50115666942355,0.9439023530551981,-0.06713376494295237,-7.713617566411002,7.5793500365250965,0.2037178507766709,1309
3,"Fixed | Butterworth (0.5-5 Hz, order 4)",2.282847688221536,4.213250742337553,0.9352174666694113,-0.24110663641200786,-8.488696375595518,8.006483102771503,0.0,1309
3,"Fixed | Butterworth (0.7-4 Hz, order 3)",2.227481975519335,4.023017730954384,0.9404527909537951,-0.2644886056543179,-8.13555127189906,7.606574060590423,0.0,1309
3,Fixed | Moving average (11),2.347780980936135,4.772958505236715,0.9432851057227574,0.0282170071791243,-7.641917645618488,7.698351659976737,0.30557677616500634,1309
3,Fixed | Moving average (5),2.289604938608079,4.412836685663375,0.9487934684437003,0.07528804640242945,-7.200515042312059,7.351091135116917,0.22918258212375475,1309
3,Fixed | Raw,2.2930133881230375,4.452455003176205,0.9481283527734101,-0.06660419812930991,-7.435149556188557,7.301941159929937,0.22918258212375475,1309
3,"Fixed | Savitzky-Golay (21,3)",2.3228274796240655,4.580729853252047,0.9507400634802371,-0.05456834435389069,-7.227164433429605,7.118027744721823,0.30557677616500634,1309
3,Monte-Carlo,2.3052762717920974,4.529326212798152,0.9450971871135972,-0.05891290948443448,-7.624361378443829,7.506535559474959,0.22918258212375475,1309
3,Q-learning,2.2603810540377394,4.288843309582863,0.943749025979561,-0.06416540568493038,-7.7161641033576345,7.587833291987773,0.12732365673541932,1309
3,Supervised action classifier,2.288938269673707,4.429662081771342,0.9415837328933554,-0.11054059809358675,-7.936145434657006,7.715064238469833,0.15278838808250317,1309
4,Contextual bandit,1.312099787060549,2.965759901749678,0.9615082646822769,0.1816703848581549,-5.62250694141138,5.98584771112769,0.0,1190
4,"Fixed | Butterworth (0.5-5 Hz, order 4)",1.3231881768490805,3.022540742629482,0.9600828520109662,0.15819433411057385,-5.760353250354792,6.07674191857594,0.0,1190
4,"Fixed | Butterworth (0.7-4 Hz, order 3)",1.2943278569928263,2.9035254256542635,0.9629631204484809,0.1370346879533889,-5.549923458507785,5.823992834414564,0.0,1190
4,Fixed | Moving average (11),1.313558842020786,2.9444341173342705,0.9620817580693681,0.23570481494489268,-5.519283875356726,5.9906935052465125,0.0,1190
4,Fixed | Moving average (5),1.3212960815570713,2.9022220194990935,0.9632039619236787,0.27141508621904864,-5.394391516944297,5.937221689382395,0.0,1190
4,Fixed | Raw,1.2927454051452723,2.9000963899260928,0.9631952768582384,0.19819036846720714,-5.4750939614100185,5.871474698344433,0.0,1190
4,"Fixed | Savitzky-Golay (21,3)",1.3060731535620036,3.003242804336755,0.9605776397794967,0.20100517431733456,-5.674621105392282,6.07663145402695,0.0,1190
4,Monte-Carlo,1.3231536217766255,3.00167773032773,0.9605354422499462,0.19035342727458412,-5.683319985680595,6.064026840229762,0.0,1190
4,Q-learning,1.313120920305762,2.9747435288498743,0.9613282058156649,0.22044439845398067,-5.596265780842612,6.037154577750574,0.0,1190
4,Supervised action classifier,1.293287059795225,2.9014754374824845,0.9631569605814634,0.20052670473755305,-5.475152515082204,5.8762059245573095,0.0,1190
5,Contextual bandit,2.245454368770527,4.892826937036616,0.9045785400896498,-0.1324370988618273,-9.72284439961061,9.457970201886955,0.0,1190
5,"Fixed | Butterworth (0.5-5 Hz, order 4)",2.225974076472157,4.859068640073118,0.9058054193983449,-0.16719233866205896,-9.689329192600821,9.354944515276705,0.0,1190
5,"Fixed | Butterworth (0.7-4 Hz, order 3)",2.203374515658412,4.843700927844363,0.9059328251661667,-0.1565018954260481,-9.649188276490442,9.336184485638345,0.0,1190
5,Fixed | Moving average (11),2.230312831881597,4.820660941259414,0.9063253240067737,0.0009382121844609873,-9.451529513558771,9.453405937927695,0.0,1190
5,Fixed | Moving average (5),2.224334458316291,4.759127392475417,0.9083085583952297,0.0642627018677899,-9.266697957131813,9.395223360867393,0.0,1190
5,Fixed | Raw,2.2708752545090687,4.936375382213784,0.9037184571086337,-0.14332183850145652,-9.818604870288585,9.531961193285671,0.0,1190
5,"Fixed | Savitzky-Golay (21,3)",2.2524099754228404,4.861101807754659,0.9056879683502461,-0.12745380512588067,-9.655942301429135,9.401034691177372,0.0,1190
5,Monte-Carlo,2.2333337659993497,4.833761052220964,0.9062226458343942,-0.06302500906443315,-9.540364940785922,9.414314922657056,0.0,1190
5,Q-learning,2.214909660219849,4.814608529492463,0.9071327426027169,-0.08680498151750828,-9.52582353698183,9.352213573946814,0.0,1190
5,Supervised action classifier,2.2728400391366566,4.948080724010786,0.9032720782539126,-0.13946050371501761,-9.837921749033082,9.559000741603047,0.0,1190
