Fold,Method,MAE (BPM),RMSE (BPM),Failed (%)
1,Contextual bandit,3.4855472949633626,8.806673387144563,0.7751937984496124
1,"Fixed | Butterworth (0.5-5 Hz, order 4)",4.087173851759036,10.669818777037314,1.1627906976744187
1,"Fixed | Butterworth (0.7-4 Hz, order 3)",3.321000445453697,8.189082728498056,0.0
1,Fixed | Moving average (11),15.984545042656173,26.582947762963588,19.767441860465116
1,Fixed | Moving average (5),12.211266233525446,22.792546847430074,16.27906976744186
1,Fixed | Raw,11.382258668729278,21.912776844600796,15.11627906976744
1,"Fixed | Savitzky-Golay (21,3)",13.156759990859523,23.636760719783474,17.441860465116278
1,Monte-Carlo,3.4855472949633626,8.806673387144563,0.7751937984496124
1,Q-learning,3.6067879469837236,9.226193882025619,1.1627906976744187
2,Contextual bandit,1.4909490839210318,1.7882040055118402,0.0
2,"Fixed | Butterworth (0.5-5 Hz, order 4)",1.4685690405814948,1.7960830011606321,0.0
2,"Fixed | Butterworth (0.7-4 Hz, order 3)",1.4712279530842005,1.7287547625134096,0.0
2,Fixed | Moving average (11),13.293411694722295,23.861609067504503,15.476190476190476
2,Fixed | Moving average (5),10.782975814106194,21.156789930565367,11.904761904761903
2,Fixed | Raw,9.14269370813561,18.708094295199505,9.523809523809524
2,"Fixed | Savitzky-Golay (21,3)",12.44401061416193,22.938907702896017,13.095238095238097
2,Monte-Carlo,1.4909490839210318,1.7882040055118402,0.0
2,Q-learning,1.44599487689307,1.7506717405374979,0.0
3,Contextual bandit,3.1908827890609075,8.318083435537034,0.7936507936507936
3,"Fixed | Butterworth (0.5-5 Hz, order 4)",2.6320792274472504,6.1883326844677224,0.0
3,"Fixed | Butterworth (0.7-4 Hz, order 3)",2.278357863338692,4.2942958461748715,0.0
3,Fixed | Moving average (11),17.635909751674482,28.31253724061953,22.61904761904762
3,Fixed | Moving average (5),16.050614869822997,27.05594166051221,21.428571428571427
3,Fixed | Raw,14.842885504313477,25.47547538369432,19.047619047619047
3,"Fixed | Savitzky-Golay (21,3)",16.698176607176414,27.624519981336206,21.428571428571427
3,Monte-Carlo,3.1908827890609075,8.318083435537034,0.7936507936507936
3,Q-learning,3.0451284737786466,7.97075012415111,0.7936507936507936
4,Contextual bandit,6.037389938341824,13.599239261754525,0.0
4,"Fixed | Butterworth (0.5-5 Hz, order 4)",7.534125360995758,16.410870623580376,0.0
4,"Fixed | Butterworth (0.7-4 Hz, order 3)",5.813132513568538,13.229005529724354,0.0
4,Fixed | Moving average (11),26.703248869014136,35.556210545074514,40.476190476190474
4,Fixed | Moving average (5),24.471185235344393,33.886751080694964,33.33333333333333
4,Fixed | Raw,22.782867353336286,32.602891702065186,29.761904761904763
4,"Fixed | Savitzky-Golay (21,3)",25.56593084982109,34.753250048652646,34.523809523809526
4,Monte-Carlo,6.037389938341824,13.599239261754525,0.0
4,Q-learning,6.876653134857101,14.966108884934178,1.1904761904761905
