Method,subject,Subject MAE (BPM),Table,index,activity,MAE (BPM),SD (BPM),N recordings,action,size,Action,Percentage
"Fixed | Butterworth (0.7-4 Hz, order 3)",1.0,1.3475939346172965,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",2.0,1.5152590757976137,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",3.0,0.9458006354232799,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",4.0,2.493986042985051,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",5.0,4.571055050339991,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",6.0,3.88874015108816,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",7.0,6.3894363865590424,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",8.0,1.0430029242773884,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",9.0,1.0327992176005707,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",10.0,1.987142898073303,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",11.0,1.6549987378001534,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",12.0,1.97292199488491,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",13.0,2.9687056604026703,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",14.0,0.8304923623709155,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",15.0,2.8145771272327846,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",16.0,7.16998714237542,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",17.0,1.2859859063820367,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",18.0,3.027358694899007,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",19.0,1.8701336963484334,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",20.0,1.2385919873193234,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",21.0,2.382111657781412,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",22.0,1.809678210748178,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",23.0,11.587934751909847,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",24.0,6.131183879253708,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",25.0,1.6796007015822643,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",26.0,1.0361925602257094,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",27.0,2.570211607677924,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",28.0,10.930899349349321,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",29.0,1.585483387032724,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",30.0,3.7548948816088217,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",31.0,10.198669366601322,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",32.0,1.0815699242544758,Subject-level MAE,,,,,,,,,
Q-learning,1.0,1.7372043242276844,Subject-level MAE,,,,,,,,,
Q-learning,2.0,1.436928658786212,Subject-level MAE,,,,,,,,,
Q-learning,3.0,0.9458006354232799,Subject-level MAE,,,,,,,,,
Q-learning,4.0,2.3307454948060924,Subject-level MAE,,,,,,,,,
Q-learning,5.0,7.171196790733301,Subject-level MAE,,,,,,,,,
Q-learning,6.0,3.819354093233551,Subject-level MAE,,,,,,,,,
Q-learning,7.0,6.22654530946524,Subject-level MAE,,,,,,,,,
Q-learning,8.0,0.869557781020923,Subject-level MAE,,,,,,,,,
Q-learning,9.0,4.279385784909377,Subject-level MAE,,,,,,,,,
Q-learning,10.0,1.7970712096451078,Subject-level MAE,,,,,,,,,
Q-learning,11.0,1.9753519445027363,Subject-level MAE,,,,,,,,,
Q-learning,12.0,1.97292199488491,Subject-level MAE,,,,,,,,,
Q-learning,13.0,2.4389189213601696,Subject-level MAE,,,,,,,,,
Q-learning,14.0,0.743072133329916,Subject-level MAE,,,,,,,,,
Q-learning,15.0,3.1304293463914776,Subject-level MAE,,,,,,,,,
Q-learning,16.0,10.434664463280962,Subject-level MAE,,,,,,,,,
Q-learning,17.0,0.8724728123158253,Subject-level MAE,,,,,,,,,
Q-learning,18.0,2.8325535000938133,Subject-level MAE,,,,,,,,,
Q-learning,19.0,1.8701336963484334,Subject-level MAE,,,,,,,,,
Q-learning,20.0,1.1828186898580466,Subject-level MAE,,,,,,,,,
Q-learning,21.0,3.132174851699241,Subject-level MAE,,,,,,,,,
Q-learning,22.0,1.809678210748178,Subject-level MAE,,,,,,,,,
Q-learning,23.0,12.197424690942965,Subject-level MAE,,,,,,,,,
Q-learning,24.0,6.131183879253708,Subject-level MAE,,,,,,,,,
Q-learning,25.0,1.5395226149992094,Subject-level MAE,,,,,,,,,
Q-learning,26.0,0.9481776634485276,Subject-level MAE,,,,,,,,,
Q-learning,27.0,5.012528209994526,Subject-level MAE,,,,,,,,,
Q-learning,28.0,10.7154186551801,Subject-level MAE,,,,,,,,,
Q-learning,29.0,1.6515510403096803,Subject-level MAE,,,,,,,,,
Q-learning,30.0,8.249722940680904,Subject-level MAE,,,,,,,,,
Q-learning,31.0,13.20503479868882,Subject-level MAE,,,,,,,,,
Q-learning,32.0,1.2214424069282706,Subject-level MAE,,,,,,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",,,Activity-stratified MAE,0.0,A,3.9468116929556856,8.56381742812256,242.0,,,,
"Fixed | Butterworth (0.7-4 Hz, order 3)",,,Activity-stratified MAE,1.0,B,1.393186961802315,2.5897633498133135,96.0,,,,
Q-learning,,,Activity-stratified MAE,2.0,A,4.763775821099872,10.733525730352858,242.0,,,,
Q-learning,,,Activity-stratified MAE,3.0,B,1.403782565895029,2.6009299873222407,96.0,,,,
,,,Q-learning action distribution,,A,,,,0.0,14.0,Raw,5.785123966942149
,,,Q-learning action distribution,,A,,,,1.0,17.0,Moving average (5),7.024793388429752
,,,Q-learning action distribution,,A,,,,2.0,6.0,Moving average (11),2.479338842975207
,,,Q-learning action distribution,,A,,,,3.0,4.0,"Savitzky-Golay (21,3)",1.6528925619834711
,,,Q-learning action distribution,,A,,,,4.0,77.0,"Butterworth (0.5-5 Hz, order 4)",31.818181818181817
,,,Q-learning action distribution,,A,,,,5.0,124.0,"Butterworth (0.7-4 Hz, order 3)",51.239669421487605
,,,Q-learning action distribution,,B,,,,0.0,4.0,Raw,4.166666666666667
,,,Q-learning action distribution,,B,,,,1.0,5.0,Moving average (5),5.208333333333333
,,,Q-learning action distribution,,B,,,,2.0,5.0,Moving average (11),5.208333333333333
,,,Q-learning action distribution,,B,,,,4.0,29.0,"Butterworth (0.5-5 Hz, order 4)",30.208333333333332
,,,Q-learning action distribution,,B,,,,5.0,53.0,"Butterworth (0.7-4 Hz, order 3)",55.208333333333336
