Fold,Method,Seed,MAE (BPM),RMSE (BPM),Failed (%)
1,Fixed | Raw,0,11.382258668729278,21.912776844600796,15.11627906976744
1,Fixed | Moving average (5),0,12.211266233525446,22.792546847430074,16.27906976744186
1,Fixed | Moving average (11),0,15.984545042656173,26.582947762963588,19.767441860465116
1,"Fixed | Savitzky-Golay (21,3)",0,13.156759990859523,23.636760719783474,17.441860465116278
1,"Fixed | Butterworth (0.5-5 Hz, order 4)",0,4.087173851759036,10.669818777037314,1.1627906976744187
1,"Fixed | Butterworth (0.7-4 Hz, order 3)",0,3.321000445453697,8.189082728498056,0.0
1,Monte-Carlo,11,3.6778683482399575,9.427142040102932,1.1627906976744187
1,Monte-Carlo,22,3.3537970432938664,8.190288423523942,0.0
1,Monte-Carlo,33,3.4249764933562634,8.802589697806814,1.1627906976744187
1,Q-learning,11,3.6846523868294083,9.433865715008189,1.1627906976744187
1,Q-learning,22,3.705824879787127,9.440441257056506,1.1627906976744187
1,Q-learning,33,3.4298865743346343,8.804274674012163,1.1627906976744187
1,Contextual bandit,11,3.6778683482399575,9.427142040102932,1.1627906976744187
1,Contextual bandit,22,3.3537970432938664,8.190288423523942,0.0
1,Contextual bandit,33,3.4249764933562634,8.802589697806814,1.1627906976744187
2,Fixed | Raw,0,9.14269370813561,18.708094295199505,9.523809523809524
2,Fixed | Moving average (5),0,10.782975814106194,21.156789930565367,11.904761904761903
2,Fixed | Moving average (11),0,13.293411694722295,23.861609067504503,15.476190476190476
2,"Fixed | Savitzky-Golay (21,3)",0,12.44401061416193,22.938907702896017,13.095238095238097
2,"Fixed | Butterworth (0.5-5 Hz, order 4)",0,1.4685690405814948,1.7960830011606321,0.0
2,"Fixed | Butterworth (0.7-4 Hz, order 3)",0,1.4712279530842005,1.7287547625134096,0.0
2,Monte-Carlo,11,1.5057502698669147,1.807872062729313,0.0
2,Monte-Carlo,22,1.4774055986651007,1.7766182641855257,0.0
2,Monte-Carlo,33,1.4896913832310799,1.7801216896206822,0.0
2,Q-learning,11,1.4487560034621443,1.7564945633055897,0.0
2,Q-learning,22,1.419023351817958,1.7212208776235802,0.0
2,Q-learning,33,1.4702052753991077,1.7742997806833238,0.0
2,Contextual bandit,11,1.5057502698669147,1.807872062729313,0.0
2,Contextual bandit,22,1.4774055986651007,1.7766182641855257,0.0
2,Contextual bandit,33,1.4896913832310799,1.7801216896206822,0.0
3,Fixed | Raw,0,14.842885504313477,25.47547538369432,19.047619047619047
3,Fixed | Moving average (5),0,16.050614869822997,27.05594166051221,21.428571428571427
3,Fixed | Moving average (11),0,17.635909751674482,28.31253724061953,22.61904761904762
3,"Fixed | Savitzky-Golay (21,3)",0,16.698176607176414,27.624519981336206,21.428571428571427
3,"Fixed | Butterworth (0.5-5 Hz, order 4)",0,2.6320792274472504,6.1883326844677224,0.0
3,"Fixed | Butterworth (0.7-4 Hz, order 3)",0,2.278357863338692,4.2942958461748715,0.0
3,Monte-Carlo,11,3.3394162310280184,8.916354531502648,1.1904761904761905
3,Monte-Carlo,22,3.336643728215195,8.868760517844898,1.1904761904761905
3,Monte-Carlo,33,2.896588407939509,7.169135257263555,0.0
3,Q-learning,11,3.321843588849051,8.918340805333584,1.1904761904761905
3,Q-learning,22,3.3409673703923692,8.862389072226327,1.1904761904761905
3,Q-learning,33,2.4725744620945185,6.131520494893418,0.0
3,Contextual bandit,11,3.3394162310280184,8.916354531502648,1.1904761904761905
3,Contextual bandit,22,3.336643728215195,8.868760517844898,1.1904761904761905
3,Contextual bandit,33,2.896588407939509,7.169135257263555,0.0
4,Fixed | Raw,0,22.782867353336286,32.602891702065186,29.761904761904763
4,Fixed | Moving average (5),0,24.471185235344393,33.886751080694964,33.33333333333333
4,Fixed | Moving average (11),0,26.703248869014136,35.556210545074514,40.476190476190474
4,"Fixed | Savitzky-Golay (21,3)",0,25.56593084982109,34.753250048652646,34.523809523809526
4,"Fixed | Butterworth (0.5-5 Hz, order 4)",0,7.534125360995758,16.410870623580376,0.0
4,"Fixed | Butterworth (0.7-4 Hz, order 3)",0,5.813132513568538,13.229005529724354,0.0
4,Monte-Carlo,11,5.897508403116271,13.276861395396429,0.0
4,Monte-Carlo,22,5.937932209412196,13.2769559161299,0.0
4,Monte-Carlo,33,6.276729202497003,14.243900473737243,0.0
4,Q-learning,11,6.785552428697886,15.234234062338897,1.1904761904761905
4,Q-learning,22,6.00139166165614,13.271546434881882,0.0
4,Q-learning,33,7.843015314217278,16.392546157581755,2.380952380952381
4,Contextual bandit,11,5.897508403116271,13.276861395396429,0.0
4,Contextual bandit,22,5.937932209412196,13.2769559161299,0.0
4,Contextual bandit,33,6.276729202497003,14.243900473737243,0.0
