Method,Bias mean,Bias SD,Lower LoA mean,Lower LoA SD,Upper LoA mean,Upper LoA SD
Contextual bandit,-2.3805179177348417,11.485040067134376,-9.395514259536673,16.221772006580704,4.63447842406699,11.086828331733658
"Fixed | Butterworth (0.5-5 Hz, order 4)",-2.4488962204081037,11.515946830585138,-9.601975350591372,16.387904358329543,4.704182909775166,11.062261177745395
"Fixed | Butterworth (0.7-4 Hz, order 3)",-2.4127250441081607,11.396024644096444,-9.355727240478174,16.380055374272455,4.530277152261853,10.606407579917107
Fixed | Moving average (11),-2.303576979633428,11.415780749008182,-9.495509278217027,16.559118016943177,4.888355318950171,11.005919387634192
Fixed | Moving average (5),-2.292762557111843,11.463860954124545,-9.28849764075715,16.10841306106061,4.702972526533463,11.29224430215698
Fixed | Raw,-2.4135403979573966,11.53429641975964,-9.438361427439611,16.10406047551755,4.611280631524818,11.1878416971497
"Fixed | Savitzky-Golay (21,3)",-2.3614817798318737,11.441489543946222,-9.362292488406377,16.566587185496992,4.6393289287426285,10.912026132255422
Monte-Carlo,-2.3821293281975118,11.483503310123197,-9.472362121872235,16.420760214852262,4.708103465477213,11.149711597736376
Q-learning,-2.3474346654726386,11.452073449560306,-9.336303353130205,16.308833093516,4.641434022184927,10.879679210597908
SARSA,-2.374141131234004,11.458032246623898,-9.412563130034723,16.330341305664547,4.664280867566715,10.97094049730022
Supervised action classifier,-2.4075178199789784,11.499463156355592,-9.503534142724131,16.273760627895566,4.6884985027661745,11.094015561750581
