Method,Metric,N subjects,Mean,SD,95% CI lower,95% CI upper
Contextual bandit,MAE (BPM),53,3.8627292488694653,8.992540566235974,1.898526901652245,6.531063037936334
Contextual bandit,RMSE (BPM),53,5.248064524181208,9.356787358833579,3.175783108415093,8.093168291254026
Contextual bandit,Correlation,53,0.2716589634047851,0.30958890826093627,0.18608230910843604,0.3548329125095364
"Fixed | Butterworth (0.5-5 Hz, order 4)",MAE (BPM),53,3.838457459508347,8.96297883689662,1.916533507427921,6.575913378198927
"Fixed | Butterworth (0.5-5 Hz, order 4)",RMSE (BPM),53,5.167994046833416,9.340820979480426,3.019716918214852,7.953031556967352
"Fixed | Butterworth (0.5-5 Hz, order 4)",Correlation,53,0.26945576907936986,0.2997269180076573,0.18825723607896924,0.3471927295062017
"Fixed | Butterworth (0.7-4 Hz, order 3)",MAE (BPM),53,3.8185750595706813,8.955565736096755,1.8555108505570865,6.489571262205678
"Fixed | Butterworth (0.7-4 Hz, order 3)",RMSE (BPM),53,5.021363878224412,9.334801319148898,2.858747687225011,7.826553595614157
"Fixed | Butterworth (0.7-4 Hz, order 3)",Correlation,53,0.27288876291570674,0.30601714179870665,0.19372125252860026,0.3515739028570683
Fixed | Moving average (11),MAE (BPM),53,3.8853691169752826,8.924618622634263,1.9626286894205824,6.502050407823625
Fixed | Moving average (11),RMSE (BPM),53,5.4005071836983705,9.3447137768302,3.2434589645599208,8.216799763743603
Fixed | Moving average (11),Correlation,53,0.2694520892657625,0.32106675160492926,0.1836271430422984,0.3528068142957181
Fixed | Moving average (5),MAE (BPM),53,3.8917768842002163,9.02701145635416,1.93193388554587,6.657645732482347
Fixed | Moving average (5),RMSE (BPM),53,5.30262728957918,9.405279040308507,3.2226046874650316,8.076870466175738
Fixed | Moving average (5),Correlation,53,0.2752002686866297,0.31332478329350116,0.1931907668512734,0.3589540583082611
Fixed | Raw,MAE (BPM),53,3.8781168671992163,9.049532342805117,1.8998024649479361,6.611646143736104
Fixed | Raw,RMSE (BPM),53,5.29077896114044,9.375658298003167,3.09160062453772,8.055466293130765
Fixed | Raw,Correlation,53,0.2764632941731683,0.30645448505087974,0.19882660978013544,0.3584714838684513
"Fixed | Savitzky-Golay (21,3)",MAE (BPM),53,3.8537497013364703,8.915745356628245,1.9042121545929145,6.581049176934091
"Fixed | Savitzky-Golay (21,3)",RMSE (BPM),53,5.341156576115411,9.307466361000596,3.1943008324532363,8.135380905929418
"Fixed | Savitzky-Golay (21,3)",Correlation,53,0.26699660102071254,0.31556522449348556,0.18528212988155396,0.35385707473119715
Monte-Carlo,MAE (BPM),53,3.873519765226642,8.970980159680812,1.8556230023542095,6.511925672607753
Monte-Carlo,RMSE (BPM),53,5.291911728417581,9.36356013528918,3.1074040858823455,8.220579035394158
Monte-Carlo,Correlation,53,0.2746613466239833,0.30881194402473694,0.19344019656313577,0.3583147313343483
Q-learning,MAE (BPM),53,3.839582804279195,8.964675438602221,1.8562403157892267,6.465462052930766
Q-learning,RMSE (BPM),53,5.198463911248946,9.329484234581368,3.042290154590201,7.732003733210581
Q-learning,Correlation,53,0.27429488475862085,0.3050095593972513,0.19442041631908888,0.3518075140788458
Supervised action classifier,MAE (BPM),53,3.8630238189787947,9.026832500948837,1.9317622690077703,6.458538360022626
Supervised action classifier,RMSE (BPM),53,5.229961321439849,9.37866234151535,3.1791470980356316,7.890202809230397
Supervised action classifier,Correlation,53,0.28051073374718266,0.30041765820453664,0.19945612045987224,0.36211182514297324
