Method,Bias (BPM),Lower LoA (BPM),Upper LoA (BPM),MAE (BPM),RMSE (BPM)
"Fixed | Butterworth (0.7-4 Hz, order 3)",-2.412725044108161,-26.83153139162076,22.00608130340444,3.8185750595706818,10.521810107029548
"Fixed | Butterworth (0.5-5 Hz, order 4)",-2.44915262370571,-27.185841390172747,22.287536142761326,3.838457459508346,10.597775943685903
Q-learning,-2.358034244884727,-26.899428076740765,22.18335958697131,3.8614024954120687,10.660457538916793
"Fixed | Savitzky-Golay (21,3)",-2.3641739141152254,-26.998414467569226,22.270066639338772,3.8537497013364703,10.654687959643732
SARSA,-2.385057185538238,-27.01996286426609,22.249848493189617,3.868287482270299,10.691850284159388
Contextual bandit,-2.3635785777840574,-26.85924182068843,22.132084665120313,3.84467429877641,10.625997939647368
Supervised action classifier,-2.408205530901102,-27.079426500835,22.263015439032795,3.863023818978795,10.660778262768252
Monte-Carlo,-2.386070593668307,-27.039346792263622,22.267205604927007,3.8744781013915905,10.710911780942615
Fixed | Raw,-2.4150300069521933,-27.081533354782337,22.25147334087795,3.8781168671992154,10.688159989478805
Fixed | Moving average (11),-2.3046154590456434,-26.972258726190503,22.36302780809922,3.8853691169752826,10.716414367308339
Fixed | Moving average (5),-2.2943180791543343,-26.886187353641905,22.297551195333238,3.8917768842002167,10.719518976888736
