t,carotid_880nm,carotid_660nm,brachial_880nm,brachial_660nm
3.3,46.818,-25.534,9.6457,67.176
13.1,47.818,-24.534,12.646,66.176
23.0,48.818,-23.534,8.6457,65.176
32.9,49.818,-21.534,8.6457,63.176
42.8,50.818,-21.534,7.6457,64.176
52.7,47.818,-21.534,4.6457,61.176
62.6,45.818,-22.534,1.6457,60.176
72.5,44.818,-23.534,1.6457,58.176
82.3,40.818,-23.534,-1.3543,61.176
92.2,39.818,-25.534,-4.3543,59.176
102.1,35.818,-25.534,-2.3543,59.176
112.0,31.818,-27.534,-6.3543,59.176
121.9,30.818,-28.534,-4.3543,58.176
131.8,26.818,-30.534,-5.3543,56.176
141.7,22.818,-32.534,-6.3543,57.176
151.5,18.818,-33.534,-9.3543,57.176
161.4,14.818,-35.534,-8.3543,56.176
171.3,9.8185,-37.534,-12.354,55.176
181.2,2.8185,-39.534,-12.354,53.176
191.1,-4.1815,-41.534,-11.354,55.176
201.0,-7.1815,-42.534,-14.354,53.176
210.9,-13.182,-45.534,-14.354,55.176
220.7,-20.182,-47.534,-16.354,56.176
230.6,-25.182,-49.534,-19.354,51.176
240.5,-31.182,-51.534,-21.354,50.176
250.4,-39.182,-54.534,-23.354,50.176
260.3,-43.182,-55.534,-27.354,49.176
270.2,-49.182,-57.534,-30.354,46.176
280.1,-55.182,-59.534,-32.354,45.176
289.9,-60.182,-61.534,-34.354,45.176
299.8,-68.182,-62.534,-36.354,45.176
309.7,-74.182,-64.534,-40.354,44.176
319.6,-79.182,-67.534,-41.354,43.176
329.5,-86.182,-69.534,-42.354,44.176
339.4,-91.182,-70.534,-43.354,44.176
349.3,-97.182,-73.534,-45.354,44.176
359.1,-104.18,-76.534,-46.354,44.176
369.0,-110.18,-79.534,-49.354,43.176
378.9,-118.18,-80.534,-50.354,42.176
388.8,-126.18,-83.534,-50.354,42.176
398.7,-133.18,-86.534,-56.354,39.176
408.6,-139.18,-87.534,-57.354,38.176
418.5,-143.18,-90.534,-62.354,37.176
428.3,-147.18,-89.534,-62.354,37.176
438.2,-139.18,-81.534,-63.354,37.176
448.1,-121.18,-68.534,-63.354,37.176
458.0,-102.18,-58.534,-66.354,34.176
467.9,-92.182,-55.534,-66.354,34.176
477.8,-81.182,-54.534,-70.354,34.176
487.7,-71.182,-53.534,-70.354,34.176
497.5,-59.182,-51.534,-71.354,33.176
